"unittype, n (%)",NSICU,,8815 (14.21),,,,8815 (58.99),
"unittype, n (%)",RICU,,107 (0.17),,,,107 (0.72),
"unittype, n (%)",SICU,,7552 (12.18),2234 (44.47),240 (26.46),1394 (15.60),1941 (12.99),1743 (5.41)
"unittype, n (%)",SICU&MICU,,30 (0.05),30 (0.60),,,,
"unittype, n (%)",TICU,,298 (0.48),,,,298 (1.99),
"unittype, n (%)",TSICU,,1266 (2.04),,,1266 (14.16),,
"vent_flag, n (%)",0.0,14943,36841 (78.25),2681 (53.36),782 (86.22),6539 (73.16),,26839 (83.31)
"vent_flag, n (%)",1.0,,10242 (21.75),2343 (46.64),125 (13.78),2399 (26.84),,5375 (16.69)
"rrt_flag, n (%)",0.0,14943,46379 (98.50),5017 (99.86),899 (99.12),8807 (98.53),,31656 (98.27)
"rrt_flag, n (%)",1.0,,704 (1.50),7 (0.14),8 (0.88),131 (1.47),,558 (1.73)
"cardiac_surgery_flag, n (%)",0.0,0,54984 (88.65),3418 (68.03),907 (100.00),7199 (80.54),13613 (91.10),29847 (92.65)
"cardiac_surgery_flag, n (%)",1.0,,7042 (11.35),1606 (31.97),,1739 (19.46),1330 (8.90),2367 (7.35)
"vent_duration_hours, median [Q1,Q3]",,54127,"7.77 [3.33,14.24]","nan [nan,nan]","14.70 [8.00,31.10]","5.00 [3.00,8.66]","nan [nan,nan]","9.82 [3.69,16.45]"
"crrt_duration_hours, median [Q1,Q3]",,62024,"1.55 [1.33,1.77]","nan [nan,nan]","nan [nan,nan]","1.55 [1.33,1.77]","nan [nan,nan]","nan [nan,nan]"
"crystalloid_v, median [Q1,Q3]",,36952,"1500.00 [1000.00,2704.75]","1259.00 [941.70,1500.00]","750.00 [500.00,1000.00]","1500.00 [750.00,2579.17]","2250.00 [1250.00,3000.00]","1000.00 [517.00,1527.08]"
"colloid, n (%)",0.0,0,56611 (91.27),3625 (72.15),888 (97.91),8619 (96.43),11451 (76.63),32028 (99.42)
"colloid, n (%)",1.0,,5415 (8.73),1399 (27.85),19 (2.09),319 (3.57),3492 (23.37),186 (0.58)
"crystalloid, n (%)",0.0,0,36952 (59.58),402 (8.00),636 (70.12),3761 (42.08),2692 (18.02),29461 (91.45)
"crystalloid, n (%)",1.0,,25074 (40.42),4622 (92.00),271 (29.88),5177 (57.92),12251 (81.98),2753 (8.55)
"blood, n (%)",0.0,0,58534 (94.37),4447 (88.52),831 (91.62),7770 (86.93),14086 (94.26),31400 (97.47)
"blood, n (%)",1.0,,3492 (5.63),577 (11.48),76 (8.38),1168 (13.07),857 (5.74),814 (2.53)
"outcome_group, n (%)",1.0,0,62026 (100.00),5024 (100.00),907 (100.00),8938 (100.00),14943 (100.00),32214 (100.00)
"sodium_max, median [Q1,Q3]",,4034,"140.00 [137.20,142.00]","140.00 [138.00,143.00]","140.00 [138.00,142.00]","139.00 [137.00,141.00]","140.60 [138.30,142.90]","139.00 [137.00,142.00]"
"creatinine_max, median [Q1,Q3]",,4290,"0.90 [0.70,1.20]","0.87 [0.70,1.11]","0.79 [0.62,1.11]","0.90 [0.70,1.10]","0.73 [0.61,0.87]","1.00 [0.80,1.40]"
"lactate_max, median [Q1,Q3]",,48257,"1.80 [1.20,2.90]","1.50 [1.10,2.30]","1.67 [1.29,2.35]","1.90 [1.30,2.80]","nan [nan,nan]","1.80 [1.20,3.00]"
"bicarbonate_min, median [Q1,Q3]",,20037,"24.00 [21.00,26.00]","22.10 [20.40,23.80]","23.10 [20.70,25.40]","24.00 [22.00,26.00]","23.00 [21.33,24.50]","24.00 [21.00,26.00]"
"hemoglobin_min, median [Q1,Q3]",,4542,"11.80 [10.10,13.30]","10.65 [9.35,12.26]","11.30 [9.40,13.20]","10.80 [9.40,12.30]","12.60 [11.20,13.80]","11.80 [10.00,13.40]"
