"unittype, n (%)",NSICU,,16801 (6.93),,,,16801 (28.11),
"unittype, n (%)",RICU,,1523 (0.63),,,,1523 (2.55),
"unittype, n (%)",SICU,,30604 (12.62),9250 (50.83),1015 (28.05),5800 (16.32),6563 (10.98),7976 (6.36)
"unittype, n (%)",SICU&MICU,,1445 (0.60),1445 (7.94),,,,
"unittype, n (%)",TICU,,1046 (0.43),,,,1046 (1.75),
"unittype, n (%)",TSICU,,4842 (2.00),,,4842 (13.63),,
"vent_flag, n (%)",0.0,59772,109486 (59.92),5866 (32.23),2258 (62.39),18871 (53.11),,82491 (65.79)
"vent_flag, n (%)",1.0,,73238 (40.08),12332 (67.77),1361 (37.61),16660 (46.89),,42885 (34.21)
"rrt_flag, n (%)",0.0,59772,176790 (96.75),17705 (97.29),3425 (94.64),34180 (96.20),,121480 (96.89)
"rrt_flag, n (%)",1.0,,5934 (3.25),493 (2.71),194 (5.36),1351 (3.80),,3896 (3.11)
"cardiac_surgery_flag, n (%)",0.0,0,209336 (86.33),11262 (61.89),3619 (100.00),28134 (79.18),52655 (88.09),113666 (90.66)
"cardiac_surgery_flag, n (%)",1.0,,33160 (13.67),6936 (38.11),,7397 (20.82),7117 (11.91),11710 (9.34)
"vent_duration_hours, median [Q1,Q3]",,181590,"24.00 [9.37,71.65]","nan [nan,nan]","96.70 [26.20,258.00]","16.50 [5.92,63.58]","nan [nan,nan]","26.62 [11.15,70.65]"
"crrt_duration_hours, median [Q1,Q3]",,242160,"95.38 [44.34,171.56]","nan [nan,nan]","nan [nan,nan]","95.38 [44.34,171.56]","nan [nan,nan]","nan [nan,nan]"
"crystalloid_v, median [Q1,Q3]",,135557,"1500.00 [798.30,2500.00]","1500.00 [1000.00,2336.60]","1000.00 [500.00,1500.00]","2000.00 [886.50,3500.00]","1500.00 [750.00,2500.00]","1000.00 [582.00,1872.62]"
"colloid, n (%)",0.0,0,212658 (87.70),10616 (58.34),3455 (95.47),33148 (93.29),42372 (70.89),123067 (98.16)
"colloid, n (%)",1.0,,29838 (12.30),7582 (41.66),164 (4.53),2383 (6.71),17400 (29.11),2309 (1.84)
"crystalloid, n (%)",0.0,0,135557 (55.90),850 (4.67),2092 (57.81),10671 (30.03),10948 (18.32),110996 (88.53)
"crystalloid, n (%)",1.0,,106939 (44.10),17348 (95.33),1527 (42.19),24860 (69.97),48824 (81.68),14380 (11.47)
"blood, n (%)",0.0,0,208496 (85.98),13597 (74.72),2829 (78.17),24507 (68.97),52498 (87.83),115065 (91.78)
"blood, n (%)",1.0,,34000 (14.02),4601 (25.28),790 (21.83),11024 (31.03),7274 (12.17),10311 (8.22)
"outcome_group, n (%)",0.0,0,2 (0.00),,,2 (0.01),,
"outcome_group, n (%)",1.0,,62026 (25.58),5024 (27.61),907 (25.06),8938 (25.16),14943 (25.00),32214 (25.69)
"outcome_group, n (%)",2.0,,60365 (24.89),4436 (24.38),905 (25.01),8849 (24.91),14945 (25.00),31230 (24.91)
"outcome_group, n (%)",3.0,,59745 (24.64),4203 (23.10),902 (24.92),8859 (24.93),14941 (25.00),30840 (24.60)
"outcome_group, n (%)",4.0,,60358 (24.89),4535 (24.92),905 (25.01),8883 (25.00),14943 (25.00),31092 (24.80)
"sodium_max, median [Q1,Q3]",,9166,"140.00 [138.00,142.70]","141.00 [139.00,144.00]","140.10 [138.00,142.90]","140.00 [137.00,142.00]","141.10 [138.70,143.50]","140.00 [137.00,142.00]"
"creatinine_max, median [Q1,Q3]",,9717,"0.95 [0.74,1.31]","0.96 [0.77,1.22]","0.85 [0.65,1.31]","0.90 [0.70,1.30]","0.80 [0.65,0.98]","1.06 [0.80,1.55]"
"lactate_max, median [Q1,Q3]",,168882,"2.00 [1.30,3.20]","1.90 [1.20,3.00]","1.88 [1.41,2.73]","2.00 [1.40,3.10]","3.29 [1.62,6.45]","1.90 [1.23,3.30]"
"bicarbonate_min, median [Q1,Q3]",,72420,"23.00 [20.00,25.10]","21.40 [19.50,23.00]","22.60 [20.10,25.30]","23.00 [21.00,26.00]","22.90 [20.40,24.98]","23.00 [20.00,26.00]"
"hemoglobin_min, median [Q1,Q3]",,11070,"11.30 [9.40,13.00]","10.00 [8.71,11.61]","10.90 [9.10,12.60]","10.30 [9.00,11.90]","12.50 [10.90,14.00]","11.20 [9.20,12.90]"
