"unittype, n (%)",SICU,,3257 (19.32),1394 (72.27),166 (26.82),556 (18.87),719 (19.21),422 (5.54)
"unittype, n (%)",SICU&MICU,,50 (0.30),50 (2.59),,,,
"unittype, n (%)",TICU,,63 (0.37),,,,63 (1.68),
"unittype, n (%)",TSICU,,386 (2.29),,,386 (13.10),,
"vent_flag, n (%)",0.0,3743,2137 (16.30),206 (10.68),136 (21.97),451 (15.30),,1344 (17.64)
"vent_flag, n (%)",1.0,,10976 (83.70),1723 (89.32),483 (78.03),2496 (84.70),,6274 (82.36)
"rrt_flag, n (%)",0.0,3743,11336 (86.45),1504 (77.97),470 (75.93),2508 (85.10),,6854 (89.97)
"rrt_flag, n (%)",1.0,,1777 (13.55),425 (22.03),149 (24.07),439 (14.90),,764 (10.03)
"cardiac_surgery_flag, n (%)",0.0,0,15982 (94.81),1829 (94.82),619 (100.00),2744 (93.11),3595 (96.05),7195 (94.45)
"cardiac_surgery_flag, n (%)",1.0,,874 (5.19),100 (5.18),,203 (6.89),148 (3.95),423 (5.55)
"vent_duration_hours, median [Q1,Q3]",,7603,"47.50 [15.85,129.02]","nan [nan,nan]","90.20 [32.00,251.25]","67.31 [23.99,178.85]","nan [nan,nan]","40.16 [12.45,102.87]"
"crrt_duration_hours, median [Q1,Q3]",,16541,"59.00 [19.50,151.91]","nan [nan,nan]","nan [nan,nan]","59.00 [19.50,151.91]","nan [nan,nan]","nan [nan,nan]"
"crystalloid_v, median [Q1,Q3]",,7847,"1796.40 [1000.00,3150.00]","2000.00 [1276.55,3372.80]","1000.00 [500.00,2000.00]","2454.29 [1000.00,4900.00]","1550.00 [1000.00,2750.00]","1455.84 [784.75,2594.95]"
"colloid, n (%)",0.0,0,13288 (78.83),869 (45.05),566 (91.44),2743 (93.08),1616 (43.17),7494 (98.37)
"colloid, n (%)",1.0,,3568 (21.17),1060 (54.95),53 (8.56),204 (6.92),2127 (56.83),124 (1.63)
"crystalloid, n (%)",0.0,0,7847 (46.55),198 (10.26),252 (40.71),589 (19.99),402 (10.74),6406 (84.09)
"crystalloid, n (%)",1.0,,9009 (53.45),1731 (89.74),367 (59.29),2358 (80.01),3341 (89.26),1212 (15.91)
"blood, n (%)",0.0,0,12030 (71.37),1095 (56.77),402 (64.94),1610 (54.63),2433 (65.00),6490 (85.19)
"blood, n (%)",1.0,,4826 (28.63),834 (43.23),217 (35.06),1337 (45.37),1310 (35.00),1128 (14.81)
"outcome_group, n (%)",5.0,0,16856 (100.00),1929 (100.00),619 (100.00),2947 (100.00),3743 (100.00),7618 (100.00)
"sodium_max, median [Q1,Q3]",,780,"141.00 [137.00,145.00]","143.00 [140.00,148.00]","141.60 [138.00,145.00]","140.00 [137.00,144.00]","140.60 [136.80,144.50]","140.00 [137.00,145.00]"
"creatinine_max, median [Q1,Q3]",,892,"1.47 [0.92,2.46]","1.41 [0.98,2.19]","1.33 [0.86,2.21]","1.40 [0.90,2.30]","1.04 [0.73,1.94]","1.74 [1.10,2.80]"
"lactate_max, median [Q1,Q3]",,7367,"4.10 [2.10,8.40]","4.20 [2.10,8.20]","2.88 [1.92,4.90]","3.25 [1.90,6.40]","8.86 [5.24,16.62]","4.80 [2.20,9.70]"
"bicarbonate_min, median [Q1,Q3]",,4443,"19.00 [15.00,23.00]","17.50 [13.53,20.70]","21.35 [17.92,24.40]","20.00 [16.00,24.00]","19.90 [15.80,24.20]","19.00 [15.00,23.00]"
"hemoglobin_min, median [Q1,Q3]",,983,"10.10 [8.30,12.00]","9.68 [8.06,11.61]","10.25 [8.60,12.47]","10.00 [8.60,11.60]","10.70 [8.60,12.70]","10.00 [8.10,11.90]"
