"unittype, n (%)",Med-Surg ICU,,73585 (28.37),,,,,73585 (55.33)
"unittype, n (%)",NICU,,11833 (4.56),,,,1440 (2.27),10393 (7.81)
"unittype, n (%)",NSICU,,17129 (6.60),,,,17129 (26.97),
"unittype, n (%)",RICU,,1987 (0.77),,,,1987 (3.13),
"unittype, n (%)",SICU,,33861 (13.06),10644 (52.88),1181 (27.87),6356 (16.52),7282 (11.47),8398 (6.31)
"unittype, n (%)",SICU&MICU,,1495 (0.58),1495 (7.43),,,,
"unittype, n (%)",TICU,,1109 (0.43),,,,1109 (1.75),
"unittype, n (%)",TSICU,,5228 (2.02),,,5228 (13.59),,
"vent_flag, n (%)",0.0,63515,111623 (57.00),6072 (30.17),2394 (56.49),19322 (50.22),,83835 (63.04)
"vent_flag, n (%)",1.0,,84214 (43.00),14055 (69.83),1844 (43.51),19156 (49.78),,49159 (36.96)
"rrt_flag, n (%)",0.0,63515,188121 (96.06),19209 (95.44),3895 (91.91),36688 (95.35),,128329 (96.49)
"rrt_flag, n (%)",1.0,,7716 (3.94),918 (4.56),343 (8.09),1790 (4.65),,4665 (3.51)
"cardiac_surgery_flag, n (%)",0.0,0,225318 (86.88),13091 (65.04),4238 (100.00),30878 (80.25),56250 (88.56),120861 (90.88)
"cardiac_surgery_flag, n (%)",1.0,,34034 (13.12),7036 (34.96),,7600 (19.75),7265 (11.44),12133 (9.12)
"vent_duration_hours, median [Q1,Q3]",,189193,"26.00 [9.98,79.36]","nan [nan,nan]","94.65 [28.40,256.82]","19.00 [6.53,82.25]","nan [nan,nan]","27.82 [11.28,74.35]"
"crrt_duration_hours, median [Q1,Q3]",,258701,"77.40 [31.12,165.00]","nan [nan,nan]","nan [nan,nan]","77.40 [31.12,165.00]","nan [nan,nan]","nan [nan,nan]"
"crystalloid_v, median [Q1,Q3]",,143404,"1500.00 [800.00,2500.00]","1500.00 [1000.00,2469.35]","1000.00 [500.00,1500.00]","2000.00 [900.00,3650.00]","1500.00 [750.00,2500.00]","1011.00 [598.00,1947.00]"
"colloid, n (%)",0.0,0,225946 (87.12),11485 (57.06),4021 (94.88),35891 (93.28),43988 (69.26),130561 (98.17)
"colloid, n (%)",1.0,,33406 (12.88),8642 (42.94),217 (5.12),2587 (6.72),19527 (30.74),2433 (1.83)
"crystalloid, n (%)",0.0,0,143404 (55.29),1048 (5.21),2344 (55.31),11260 (29.26),11350 (17.87),117402 (88.28)
"crystalloid, n (%)",1.0,,115948 (44.71),19079 (94.79),1894 (44.69),27218 (70.74),52165 (82.13),15592 (11.72)
"blood, n (%)",0.0,0,220526 (85.03),14692 (73.00),3231 (76.24),26117 (67.88),54931 (86.49),121555 (91.40)
"blood, n (%)",1.0,,38826 (14.97),5435 (27.00),1007 (23.76),12361 (32.12),8584 (13.51),11439 (8.60)
"outcome_group, n (%)",0.0,0,2 (0.00),,,2 (0.01),,
"outcome_group, n (%)",1.0,,62026 (23.92),5024 (24.96),907 (21.40),8938 (23.23),14943 (23.53),32214 (24.22)
"outcome_group, n (%)",2.0,,60365 (23.28),4436 (22.04),905 (21.35),8849 (23.00),14945 (23.53),31230 (23.48)
"outcome_group, n (%)",3.0,,59745 (23.04),4203 (20.88),902 (21.28),8859 (23.02),14941 (23.52),30840 (23.19)
"outcome_group, n (%)",4.0,,60358 (23.27),4535 (22.53),905 (21.35),8883 (23.09),14943 (23.53),31092 (23.38)
"outcome_group, n (%)",5.0,,16856 (6.50),1929 (9.58),619 (14.61),2947 (7.66),3743 (5.89),7618 (5.73)
"sodium_max, median [Q1,Q3]",,9946,"140.00 [138.00,143.00]","141.00 [139.00,144.00]","140.30 [138.00,143.00]","140.00 [137.00,142.00]","141.10 [138.60,143.50]","140.00 [137.00,142.00]"
"creatinine_max, median [Q1,Q3]",,10609,"0.97 [0.75,1.39]","0.98 [0.78,1.28]","0.90 [0.67,1.46]","0.90 [0.70,1.30]","0.81 [0.66,0.99]","1.09 [0.81,1.61]"
"lactate_max, median [Q1,Q3]",,176249,"2.10 [1.30,3.50]","2.10 [1.30,3.40]","1.98 [1.45,2.96]","2.10 [1.40,3.30]","4.67 [1.83,8.73]","2.10 [1.30,3.60]"
"bicarbonate_min, median [Q1,Q3]",,76863,"23.00 [20.00,25.00]","21.20 [19.00,22.90]","22.50 [19.80,25.20]","23.00 [21.00,26.00]","22.50 [19.60,24.90]","23.00 [20.00,26.00]"
"hemoglobin_min, median [Q1,Q3]",,12053,"11.20 [9.35,12.90]","10.00 [8.71,11.61]","10.80 [9.00,12.60]","10.30 [8.90,11.90]","12.50 [10.80,13.90]","11.10 [9.20,12.80]"
